"0","0","0[-,s,m]","BAve","L25","imp","0","s","m"
"0_jA_wA_WA_WA","0_jAwA_WA","0[-,-,-]jA_wA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L4","n","-1","-1","0"
"0_jA_wA_hE_hE","0_jAwA_hE","0[-,-,-]jA_wA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L4","n","-2","-1","-1"
"0_jA_wA_ho_0","0_jAwA_ho","0[-,-,-]jA_wA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L4","n","-2","-1","-1"
"0_jA_wA_ho_future","0_jAwA_ho_future","0[-,-,-]jA_wA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L4","n","-1","-1","-1"
"0_jA_yA1","0_gayA","0[-,-,-]jA_yA1[g_v,n_v,-]","karwA","L4","n","-1","-1","0"
"0_jA_yA1_WA_WA","0_gayA_WA","0[-,-,-]jA_yA1[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L4","n","-1","-1","0"
"0_jA_yA1_hE_hE","0_gayA_hE","0[-,-,-]jA_yA1[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L4","n","-2","-1","-1"
"0_jA_yA1_ho_0","0_gayA_ho","0[-,-,-]jA_yA1[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L4","n","-2","-1","-1"
"0_jA_yA1_ho_future","0_gayA_ho_future","0[-,-,-]jA_yA1[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L4","n","-1","-1","-1"
"0_jA_yA1_ho_wA","0_gayA_howA","0[-,-,-]jA_yA1[g_v,n_v,-]ho_wA[g_v,n_v,-]","karwA","L4","n","-1","-1","0"
"0_le_future","0_le_future","0[-,-,-]le_future[g_v,n_v,p_v]","karwA","L27","n","-1","-1","-1"
"0_le_nA","0_lenA","0[-,-,-]le_nA[-,s,m]","BAve","L27","imp","0","s","m"
"0_le_nA_WA_WA","0_lenA_WA","0[-,-,-]le_nA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karma","L27","ko","-1","-1","0"
"0_le_nA_cAhiye","0_lenA_cAhiye","0[-,-,-]le_nA[g_v,n_v,-]cAhiye[-,-,-]","karma","L27","ko","-2","-2","0"
"0_le_nA_hE_hE","0_lenA_hE","0[-,-,-]le_nA[g_v,n_v,-]hE_hE[-,n_v,-]","karma","L27","ko","-2","-1","0"
"0_le_subj","0_le_subj","0[-,-,-]le_subj[-,n_v,p_v]","BAve","L27","n","0","-1","-1"
"0_le_wA","0_lewA","0[-,-,-]le_wA[g_v,n_v,-]","karwA","L27","n","-1","-1","0"
"0_le_wA_WA_WA","0_lewA_WA","0[-,-,-]le_wA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L27","n","-1","-1","0"
"0_le_wA_hE_hE","0_lewA_hE","0[-,-,-]le_wA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L27","n","-2","-1","-1"
"0_le_wA_ho_0","0_lewA_ho","0[-,-,-]le_wA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L27","n","-2","-1","-1"
"0_le_wA_ho_future","0_lewA_ho_future","0[-,-,-]le_wA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L27","n","-1","-1","-1"
"0_le_yA","0_liyA","0[-,-,-]le_yA[g_v,n_v,-]","karma","L27","ne","-1","-1","0"
"0_le_yA_WA_WA","0_liyA_WA","0[-,-,-]le_yA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karma","L27","ne","-1","-1","0"
"0_le_yA_hE_hE","0_liyA_hE","0[-,-,-]le_yA[g_v,n_v,-]hE_hE[-,n_v,-]","karma","L27","ne","-2","-1","0"
"0_le_yA_ho_0","0_liyA_ho","0[-,-,-]le_yA[g_v,n_v,-]ho_0[-,n_v,-]","karma","L27","ne","-2","-1","0"
"0_le_yA_ho_future","0_liyA_ho_future","0[-,-,-]le_yA[g_v,n_v,-]ho_future[g_v,n_v,-]","karma","L27","ne","-1","-1","0"
"0_le_yA_ho_wA","0_liyA_howA","0[-,-,-]le_yA[g_v,n_v,-]ho_wA[g_v,n_v,-]","karma","L27","ne","-1","-1","0"
"0_pA_future","0_pA_future","0[-,-,-]pA_future[g_v,n_v,p_v]","karwA","L23","n","-1","-1","-1"
"0_pA_subj","0_pA_subj","0[-,-,-]pA_subj[-,n_v,p_v]","BAve","L23","n","0","-1","-1"
"0_pA_wA","0_pAwA","0[-,-,-]pA_wA[g_v,n_v,-]","karwA","L23","n","-1","-1","0"
"0_pA_wA_WA_WA","0_pAwA_WA","0[-,-,-]pA_wA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L23","n","-1","-1","0"
"0_pA_wA_hE_hE","0_pAwA_hE","0[-,-,-]pA_wA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L23","n","-2","-1","-1"
"0_pA_wA_ho_0","0_pAwA_ho","0[-,-,-]pA_wA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L23","n","-2","-1","-1"
"0_pA_wA_ho_future","0_pAwA_ho_future","0[-,-,-]pA_wA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L23","n","-1","-1","-1"
"0_pA_yA","0_pAyA","0[-,-,-]pA_yA[g_v,n_v,-]","karwA","L23","n","-1","-1","0"
"0_pA_yA_WA_WA","0_pAyA_WA","0[-,-,-]pA_yA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L23","n","-1","-1","0"
"0_pA_yA_hE_hE","0_pAyA_hE","0[-,-,-]pA_yA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L23","n","-2","-1","-1"
"0_pA_yA_ho_0","0_pAyA_ho","0[-,-,-]pA_yA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L23","n","-2","-1","-1"
"0_pA_yA_ho_future","0_pAyA_ho_future","0[-,-,-]pA_yA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L23","n","-1","-1","-1"
"0_pA_yA_ho_wA","0_pAyA_howA","0[-,-,-]pA_yA[g_v,n_v,-]ho_wA[g_v,n_v,-]","karwA","L23","n","-1","-1","0"
"0_raha_yA_WA_WA","0_rahA_WA","0[-,-,-]raha_yA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L1","n","-1","-1","0"
"0_raha_yA_hE_hE","0_rahA_hE","0[-,-,-]raha_yA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L1","n","-2","-1","-1"
"0_raha_yA_ho_0","0_rahA_ho","0[-,-,-]raha_yA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L1","n","-2","-1","-1"
"0_raha_yA_ho_future","0_rahA_ho_future","0[-,-,-]raha_yA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L1","n","-1","-1","-1"
"0_raha_yA_ho_wA","0_rahA_howA","0[-,-,-]raha_yA[g_v,n_v,-]ho_wA[g_v,n_v,-]","karwA","L1","n","-1","-1","0"
"0_saka_future","0_saka_future","0[-,-,-]saka_future[g_v,n_v,p_v]","karwA","L19","n","-1","-1","-1"
"0_saka_subj","0_saka_subj","0[-,-,-]saka_subj[-,n_v,p_v]","BAve","L19","n","0","-1","-1"
"0_saka_wA","0_sakawA","0[-,-,-]saka_wA[g_v,n_v,-]","karwA","L1","n","-1","-1","0"
"0_saka_wA_WA_WA","0_sakawA_WA","0[-,-,-]saka_wA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L1","n","-1","-1","0"
"0_saka_wA_hE_hE","0_sakawA_hE","0[-,-,-]saka_wA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L1","n","-2","-1","-1"
